标题,帖子数,日期,情感
空头且莫太猖狂，作恶多端必灭亡！,15071,38,2016-07-22 13:43:56,0.5843095527137796
如果江苏银行首日涨44%，以后再来至少3个板,22104,37,2016-07-20 07:27:31,0.3560021818377823
年底行情是银行股的天下，光大必上18元,9507,18,2016-07-26 14:41:16,0.5018460174881454
好戏还在后头：整体上市，混业经营,14586,24,2016-07-18 14:22:48,0.7110947943854693
光大去年买入价3,88元，一直持股到6,3元卖出，,9068,11,2016-07-25 11:20:45,0.4335970215444369
光大银行再获光大集团增持700万股,19116,5,2016-07-19 21:21:00,0.07931335813809182
光大银行否认与网红沈梦瑶合作 对虚假报道表示,10557,7,2016-07-25 11:10:30,0.39328725702157263
建议史玉柱买入股权非常分散的光大银行,16570,37,2016-07-17 18:26:20,0.7866478229460954
决定把存在光大银行的钱转存到招商银行。看股票,112481,280,2016-01-18 10:29:57,0.20940581631262256
601818:光大银行主要股东增持股份计划进展公告,35445,13,2016-07-19 19:20:12,0.22718159149376727
敦促银行股恶意空头投降书,10759,22,2016-07-15 19:18:59,0.08920331645325463
戴维斯双击，东方不败！,9004,27,2016-07-17 12:06:11,0.7642709336536204
股市感怀,6491,22,2016-07-16 17:36:08,0.9700695488307892
光大银行主要股东光大集团拟增持不少于1000万股,15625,15,2016-07-18 20:46:00,0.17140911391908575
601818:光大银行主要股东增持股份计划公告,31167,11,2016-07-18 18:54:19,0.1787657671045455
昨天的停牌5天无意中泄漏了一个大秘密,20002,28,2016-07-15 09:06:15,0.9931467616432879
5日复牌后连续打板！大概率！哈哈～,23350,70,2016-07-14 09:24:58,0.45915145588459805
现在我们正在谋划一个新的蓝图，还不好讲得太细,7747,9,2016-07-14 23:58:10,0.3882292729459125
大单买入，势如破竹！空头投降吧！,4846,8,2016-07-15 14:19:53,0.5137569816163068
光大集团太会算计了！空头们都上当了！,8670,15,2016-07-15 07:35:58,0.07017841510710077
明天高抛T一年股息差价最好时机,5415,9,2016-07-14 20:56:44,0.44849441976626725
光大银行：光大集团增持4.25亿股 A股H股同时开,27787,8,2016-07-15 05:50:25,0.004089766426114805
601818:光大银行关于股票复牌的提示性公告,61333,39,2016-07-14 19:19:00,0.6582955207732846
光大集团筹划增持 光大银行停牌,29205,7,2016-07-14 13:15:37,0.10815085561766791
论光大银行重大事项停牌：集团增持光大银行股票,10427,13,2016-07-14 19:33:51,0.20572480778854474
光大银行：光大集团近期增持4.25亿股 拟继续增,25978,7,2016-07-14 21:25:37,0.16187251702649996
个人感觉，这次停复牌有点蹊跷。1、如果原本就,8424,9,2016-07-14 22:50:11,0.05936787408198252
