标题,帖子数,日期,情感
进场潜伏:地方国企二线蓝筹股将成为新行情热点,17600,5,2017-01-02 08:32:43,0.9369929127386241
别买入！耐心等待融资盘被强平爆仓时抄底不迟80,42251,33,2016-01-14 14:48:00,0.19829548421703647
中国交建投300亿携手贵阳共建发动机“动力小镇,22991,6,2017-01-17 22:13:00,0.9043721228154853
601800:中国交建关于高级管理人员变动的公告,47198,6,2017-01-10 16:42:54,0.22347735198252983
资金去H交建了吗,6913,9,2017-01-01 15:19:29,0.8849494912619478
看看交建怎么走,54052,87,2016-11-02 17:23:34,0.4769978482856968
明年公路水运完成固定资产投资1.8万亿元,18879,11,2016-12-27 09:31:19,0.9102638609965655
【讨论】中字头工程建设强势崛起，此时进场合适,64502,15,2016-12-26 14:42:33,0.9808051068177478
中国交建见顶买入自找死路,8384,14,2016-12-26 11:13:04,0.5993733529651525
啊啊啊！欧耶！欧耶！啊啊啊！欧耶！欧耶,5575,10,2016-12-26 15:22:20,0.8418538407409328
我今天看上你了！必须买！,9941,11,2016-12-21 13:21:17,0.7253618380731235
中国交建：稀缺资源 名牌价值待体现(附股),22033,10,2016-12-04 14:30:46,0.9654584202534015
中国交建下跌将带来投资机会！,8995,9,2016-12-08 19:43:02,0.9842619882367661
命运如一壶翻滚的沸水，我们是一撮生命的清茶。,5425,24,2016-11-24 19:32:58,0.5571187903615853
调整到位，明日起涨！,52479,195,2016-11-02 16:15:29,0.9468031865096903
拓展主业务风光独好 冲刺黑科技金光灿烂（转载,20256,30,2016-11-01 17:02:18,0.999913342785751
会对交建举牌吗？特朗普上台，一万亿美元的基建,15255,3,2016-12-01 07:21:22,0.3684377448026488
最后机会。,19502,32,2016-11-04 13:40:22,0.7541666666666667
基建行业值得投资吗？,192340,61,2016-11-22 08:53:44,0.9792822984628924
四两拨千斤,该股走势表明证监会的态度,7767,6,2016-11-14 09:18:00,0.5
[降息降准揭秘]中国交建2015年三季报[超牛震撼,17193,9,2015-10-24 16:30:32,0.5734430403284839
