标题,阅读,评论,字数,影响力,时间
今天的星是尽头星吗？,4345,2,130,3.0,2017-06-29 19:29:36
威孚高科： 360度大转弯 必将弯道超车变成超级,3202,5,234,3.5,2017-06-29 10:45:33
最新数据显示，洋鬼子沪港通资金这几天在疯狂进,13367,15,217,4.5,2017-06-29 18:05:48
兴业银行，为什么必过19元,18478,21,219,3.5,2017-06-29 11:01:04
问一声唱衰的，填权没？,11065,33,122,4.0,2017-06-26 09:47:15
兴业银行股你们都拿好没卖吗？明知道兴业银行现,31592,45,366,0.0,2017-06-25 10:03:37
定增股东套利，损害中小股东，兴业无耻不顾反对,20402,47,178,2.5,2017-05-31 08:56:59
银行股最大的缺点就是夕阳行业，未来成长性差，,11403,16,232,4.0,2017-06-12 17:34:13
兴业遭遇10亿自有资金理财飞单,13644,23,481,0.0,2017-06-25 19:36:30
坐等分红，全部家当都 在兴业,22724,32,192,0.0,2017-05-29 20:14:31
恭喜大家，恭喜中国A股，入摩成功。我再一次向,31144,75,434,0.0,2017-06-21 09:57:35
兴业银行低价定增，举报！,16973,48,79,0.0,2017-03-21 08:53:36
港股内银股暴涨，A股还是死样,5774,15,137,3.5,2017-03-16 09:53:00
兴业银行已经加仓到33万股，目前亏损20多万元,66174,89,191,3.0,2017-05-06 12:05:22
兴业银行，从今天起三年之内某时30元见，14.99,28315,51,447,0.0,2017-06-16 22:49:52
二线蓝筹兴业银行，五倍市盈率，全行业最低。业,18374,23,202,0.0,2017-06-15 17:42:11
加仓兴业银行,4629,3,122,3.5,2017-06-11 12:05:54
大股东坑小散排行： 1平安银行 2光大银行 3浦发,10326,7,176,3.5,2017-06-17 16:47:48
601166:兴业银行2016年年度权益分派实施公告,129013,37,1768,0.0,2017-06-06 17:56:38
坚决满仓兴业银行，持股不动摇，兴业银行日、周,36049,64,553,0.0,2017-06-10 20:09:45
咦？分红了？,9678,65,6,4.0,2017-06-14 11:41:45
兴业银行17年一季度每股净资产17.58元，每股收,32055,44,355,0.0,2017-06-11 11:31:44
把红利补仓的人请举手.,13167,28,159,0.0,2017-06-14 14:21:58
兴业千万别学招商，分红0.74元等于缩水了,5591,6,197,3.5,2017-06-01 10:37:00
是金子总会发光,8051,22,128,1.5,2017-05-30 23:32:20
兴业银行，目前价位贵不贵？一看国内同业性价比,23210,14,224,0.0,2017-06-07 08:09:08
虽然分红了，钱也到账了，但股价折算之后，我发,16957,25,207,3.5,2017-06-13 21:40:31
分红买入等填权,3585,8,131,3.5,2017-06-14 10:19:37
2015年中央汇金公司通过减持银行股同时转账至子,10747,26,296,3.5,2016-08-27 09:44:07
持有兴业五年多收益,16402,15,217,1.0,2017-06-11 12:38:52
为什么要买入银行股的几个理由,21607,24,602,3.0,2016-12-26 09:39:52
高盛/高华资深中国宏观经济学家宋宇做主题演讲,8754,19,6178,4.0,2017-05-30 09:47:22
美国银行24倍，花旗银行22倍市盈率,12606,18,373,3.0,2016-12-26 09:12:26
601166 人好少啊，都去哪里了？wg,18675,39,150,0.0,2017-03-06 15:19:20
兴业银行获期货存管业务全牌照,22431,9,524,0.0,2017-06-07 15:19:10
我对分红的一点理解,19799,11,275,3.0,2017-06-05 16:26:23
银行开始分化,8338,10,288,3.0,2017-06-07 14:37:42
业绩最好的兴业银行市盈竟比工商银行还低，你说,14802,26,293,3.5,2017-05-27 10:39:22
博鳌观点   英国罗斯柴尔德投资银行CEO：移动互,1839,2,1480,4.0,2017-06-01 18:35:12
音乐欣赏---王若琳演唱的 花样年华,35075,124,191,3.5,2017-03-25 13:48:44
"""国家政策是真""的良心坏到极点",8108,22,369,2.0,2017-06-01 18:06:37
浅谈市盈率的意义,10511,6,396,3.5,2017-06-01 20:43:39
苦海无边回头是岸！,10206,15,452,4.0,2017-06-02 11:28:35
外资QFII绝不会做低估值价值投资之类的蠢事，深,7986,11,216,4.0,2017-06-02 17:07:18
兴业2020年底净资产30元业绩5元,7175,8,146,3.0,2017-05-14 20:22:13
当国家政策是真理这帮人唱空时,10357,36,174,2.0,2017-05-31 15:50:01
兴业银行融资额大的唯一缺陷是,23993,67,154,3.5,2017-05-02 08:44:24
银行哪家强！请看排行榜！ 职工收入哪家强？浦,15863,9,451,4.5,2017-05-26 15:34:47
关于股东大会投票结果的疑问,7339,6,217,3.5,2017-05-27 18:02:46
兴业银行比招商银行盘子小，其他指标也不弱，为什,17408,35,129,0.0,2017-05-26 16:11:19
兴业2017年业绩应达每股3元.9倍市盈率是27元.持,13884,12,170,0.0,2017-05-26 11:57:49
高盛调降中资银行股评级及目标价 在美国股市中,6795,11,1441,4.0,2017-05-29 11:35:38
中国烟草近期增持兴业银行9亿股。 昨晚公布的股,24354,17,434,3.5,2017-05-27 18:56:11
兴业银行将会暴涨，如今年A股6月9日入M成功，那,59566,91,311,0.0,2017-05-13 10:44:12
“国家政策是真理”是个有人养没人教的野孩子，,10803,32,274,0.0,2017-05-16 03:17:54
601166:兴业银行2016年年度股东大会决议公告,63934,8,1326,0.0,2017-05-26 19:27:19
兴业银行和招商银行、浦发银行比起来缺的是对中,13336,11,165,3.0,2017-04-29 14:20:12
基本面反转，性价比凸显，重点推荐,112143,7,1306,0.0,2017-05-26 09:16:40
拉升这么慢是为了吸引小散进来吗？,4455,15,131,3.5,2017-05-25 13:44:02
今天兴业股东大会，别忘了投反对票哦,6927,18,239,3.5,2017-05-26 09:48:45
和中国平安同一天同一时间发生闪蹦时件后，平安,12505,38,174,3.0,2017-05-24 13:30:32
兴业银行08股灾后2009年去了43元，再去也是完全,8396,9,205,3.5,2016-03-16 10:59:29
兴业的基本面比招行好，可是股价差了六七元，兴,9849,9,178,3.0,2017-05-24 18:23:13
兴业银行持有5年会怎样？,13566,15,75,0.0,2017-05-17 11:15:42
“国家政策是真理”是一只可耻的空狗在乱叫，真,7638,25,208,0.0,2017-05-14 20:01:03
你们落伍啦 人家高盛巴菲特价值投资不买市盈率,6347,10,394,4.0,2017-05-21 16:29:16
兴业银行可以放开大涨了的几点理由,21477,28,508,3.0,2017-05-03 07:46:08
2016年年报及2017年一季度季报,65241,30,304,4.0,2017-04-28 18:57:24
令人气愤的股评，到底是什么意思,12118,31,805,0.0,2017-05-13 08:42:00
现在买进兴业银行后，5年后来看，会怎样？,13090,13,162,0.0,2017-05-17 11:12:01
银行股一直不让涨是加入MSCI的投名状？,5407,11,245,3.5,2017-05-05 09:18:06
兴业银行今年至少要突破20元,21561,24,191,3.0,2017-05-02 08:53:20
兴业银行的股价，比招商银行低了将近5元了，谁,9415,12,117,3.0,2017-05-15 10:30:18
兴业中报巨亏，赶紧卖出,10384,12,141,3.5,2017-05-15 13:33:17
