标题,帖子数,回帖数,时间,情感
判断:肯定暴跌崩盘崩盘了一一一一一一一一一了,13118,72,2016-01-28 09:23:51,0.9414128437570409
快跑，中石油已彻底崩盘，郭嘉队狂砸！！,18663,52,2017-02-09 11:41:04,0.06482235586675034
=↘=400倍高市盈率高市净率高股价高风险估值太,6143,11,2017-01-31 19:34:31,0.4850432822738592
中国石油与“一带一路”沿线19个国家进行50个项,15268,8,2017-05-08 10:53:58,0.39324396859774813
昨天我已经举报过，有机构非法拉升中石油。今天,8149,21,2017-05-05 14:51:17,0.07374979642624468
请证监会查一下，哪个sb在操纵指数！,6755,12,2017-04-21 18:13:13,0.30821417344737645
601857:中国石油关于召开2016年年度股东大会的,16615,6,2017-04-20 18:51:28,0.5364378593174929
大胆潜伏: 怎么跌的就会怎么涨上去（荐股）,6668,9,2017-02-18 11:21:30,0.9020354867406418
601857:中国石油2017年第一季度报告,31466,5,2017-04-27 21:10:14,0.5510711662442412
由于天朝的资深舵主更爱绿化！高叫不搞绿化者牢,34268,65,2016-12-12 20:03:41,0.6571188478771599
中石油管好了，A股就好了！ 龙头耍诈，其罪当株,6307,4,2017-04-21 18:11:51,0.06304365649187615
601857:中国石油2016年年度业绩预告,67345,23,2017-01-25 16:58:03,0.5101610431766261
4.0工业革命凸起黑科技受惠的上市公司（转）,8945,20,2017-04-03 12:48:29,0.2962239259185949
你妈逼，A股太假了，国家做庄也太明显了,7319,4,2017-04-21 23:48:38,0.14957466766168115
有人利用中国石油操纵股市，要严惩。,5056,9,2017-04-21 15:00:54,0.9489684460050068
2016年中石油获政府补助逾57亿元 175家公司获政,32132,6,2017-04-19 02:33:42,0.04041008267811663
紧急公告：立即抢购处于历史最低价的金钼股份60,8835,21,2016-01-28 23:24:45,0.9927614568503293
精准预测即将飙涨的大牛，附图参考,173640,522,2016-11-10 07:38:16,0.9985225976693084
巴菲特说的，四处举债的不是好公司，不要令股民,4132,56,2016-03-19 19:42:04,0.9771631949412211
中石油，你到底是价值投资标杆还是护盘利器？,6514,19,2017-04-17 15:01:18,0.7537410985344796
601857:中国石油关于公司股东拟发行可交换公司,23620,10,2017-04-07 16:43:46,0.17670623381159511
天津出台新政：推进京津冀企业迁移便利化 2017,3792,15,2017-04-08 13:40:08,0.7252800719938203
油气改革方案出台倒计时 中石油重整天然气市场,21131,9,2017-04-10 06:06:47,0.4217867894400119
中石油一季度预计盈利超50亿 受益国际油价上涨,18127,18,2017-04-08 16:47:53,0.037602520923817884
“三桶油”冷暖各不同：中石油年报惨淡 净利创,16219,22,2017-03-31 06:53:16,0.13131817433079518
601857：4月份看高8.8元附近。,13113,23,2017-03-24 01:53:44,0.8419446612862788
那个河北什么新区，与中国石油有何关系？？？？,9609,11,2017-04-03 17:02:21,0.686648266088288
“三桶油”晒年度成绩单 业绩冰火两重天,35976,24,2017-04-03 02:21:54,0.963537907129725
中国石油：2016年净利润79亿元 拟每股派息3.8分,26442,79,2017-03-30 17:06:12,0.2579522377116066
中国石油：预计一季度利润同比增超200亿,21819,16,2017-03-30 18:10:34,0.04026800402174813
这个堪比又要创新低了,2229,15,2017-03-28 11:03:31,0.7848272212204557
中石油吧上全是喊人买的托，肯定还要大跌，快跑,9532,25,2017-02-16 15:13:25,0.03614777515080925
《万向帝国》渡有缘人，共同分析潜力低位个股！,6471,15,2016-11-24 21:43:58,0.9952777657948065
中石化派息率64.6%现金分红创新高 保持勘探力度,10979,5,2017-03-27 10:52:03,0.06968365484215355
瑞信：预计中石油中移动等或将派特别息,21987,11,2017-03-20 15:58:03,0.2883966264884228
呵呵杀人的，千万别买,1767,29,2015-08-24 14:23:14,0.3239235980878933
数据告诉你，买卖由你定,4026,4,2017-03-20 18:38:36,0.16188155019742523
分析,8927,32,2015-12-17 09:30:07,0.8846153846153847
两大黑科技领域中率先得实惠的上市公司,5840,11,2017-03-15 17:45:47,0.9996279021475222
本人认为现在买入中国石油等于在捡钱，坚定持有,14873,22,2017-03-17 18:49:01,0.194581582106088
今起正式推荐中石油,21375,39,2017-03-09 13:26:56,0.6306120873326605
油价大跌 中石油瘦身提速,16243,10,2017-03-18 02:05:41,0.17052749668299805
弹指间、八万亿市值灰飞烟灭。可悲可叹！老夫夜,5496,14,2017-03-17 17:42:42,0.9206438964170764
中石油快刀剥离不良资产 为混改和专业化重组铺,20378,8,2017-03-16 01:57:35,0.010174091613083025
四川省政府与中石油、中国中铁等战略合作,19247,8,2017-03-15 20:36:42,0.540312209458368
什么帖子都是浮云: 只有卡恩博士2关于阴阳人人,7358,15,2016-12-15 14:50:00,0.9576946874091555
跟风国资委主任肖亚庆看国改（附最全央企国企国,59317,12,2017-03-10 15:58:28,0.8248956609300158
大胆潜伏: 怎么跌的就会怎么涨上去（荐股）,10145,11,2017-01-16 22:19:24,0.9020354867406418
行情尾声，注意风险！经济每况愈下，牛市没基础,7688,27,2015-11-18 14:52:18,0.9972142685143891
中国神油明天开启上涨之路！,9482,20,2017-03-02 21:52:25,0.22362047384849315
中国石油股份开市前有3宗大手成交  共涉资1.64,13713,4,2017-03-03 09:54:56,0.6011281679511363
进场:“两会”新行情热点,或有两三成的短升,7220,6,2017-02-22 08:00:38,0.9745333675709912
马蹄南去，人北望。。。 人北望，草青黄，尘飞,3285,3,2016-01-13 09:49:19,0.9901705322228475
吐鲁番的葡萄熟了 “疯狂预测”埋金矿,22483,40,2017-01-22 14:56:19,0.8576367461944778
中石油重组提速：资产密集整合上市 成效待观察,27399,29,2017-02-25 11:46:00,0.3497448614082561
回想中國石油上市的首日，我上午9點左右到的證,9517,9,2017-02-24 19:12:57,0.2692917607956542
我不持有中国石油，也不准备买此股！！,21928,51,2017-02-08 16:34:30,0.0010709365978582852
买中石油的都是大傻逼！！！,37510,79,2016-10-27 14:45:58,0.06582439093976677
上市以来首现一异象 中国石油这轮上涨不一样！,46524,112,2017-01-17 04:19:18,0.3321633346931242
问君能有几多愁，今天没买中石油,20909,50,2016-11-28 10:42:24,0.29864254814695856
创近期新高,26398,55,2016-08-15 17:39:11,0.8749788856094523
中石油获得阿布扎比国家石油公司8%的境内石油开,15848,12,2017-02-19 21:02:18,0.004076120318272647
我炒中国石油股票已取得决定性胜利!! ...:…...,37538,224,2017-01-26 23:41:26,0.5150513578457426
抓紧满仓:油气混改和地方国资改革的双重受益股,5358,9,2017-01-11 08:04:55,0.9657811846579721
牛起来 低于指数了 错位了,19425,28,2016-07-13 03:41:28,0.30719684014060333
中国石油纯黑五类，市盈率7OO倍，3元差不多,13378,12,2017-01-31 23:19:43,0.13614615688613607
中石油不退市大A股不会止跌。,3933,12,2017-01-24 10:15:08,0.01631341393485164
中国石油预警：年度净利润将减少70%至80%,29161,112,2017-01-25 18:01:13,0.2510314676114048
中国石油去年净利降七至八成 石油价格下降是主,21318,64,2017-01-26 04:23:26,0.08744761833599979
中国石油新高说明了啥？,46844,31,2017-01-24 14:26:02,0.5041262214149884
想砸盘又不敢使劲砸，心碎了的国家队,4922,6,2017-01-26 10:54:55,0.16752858776674162
中石油680动态市盈率还在上涨创新高！,4564,10,2017-01-25 19:10:25,0.3051566049113986
中石油预警2016年净利或暴跌80% 石油价格下降是,15645,16,2017-01-25 22:50:05,0.13559752508249
中石油在川南启动新一轮页岩气开发,8934,8,2017-01-25 15:52:24,0.3330014402355329
中国石油…………世纪大底！！！[抄底][买入][,24104,33,2016-08-26 13:03:04,0.6536866187561762
上联：大盘垃圾拉大盘，求下联,3760,28,2017-01-24 10:16:03,0.5148785673735063
进场:地方国企二线蓝筹股---跨年行情热点,6656,14,2016-12-19 10:56:37,0.8644026785794174
证监会：请请依法治市！查处中石油等人为操纵股,24032,81,2015-08-18 14:10:59,0.03697974762628098
证监会：请依法治市、全面监管！查处操纵股价的,25710,48,2016-03-29 09:18:20,0.6852000378039905
中石油在四川油气新发现：泥盆系形成于距今4亿,14014,9,2017-01-23 18:15:28,0.19582892929607
601857:中国石油2016年中期A股分红派息实施公告,56093,11,2016-09-12 19:14:56,0.5608700401762844
中石油原总经理廖永远一审获刑15年 收受财物超1,9751,13,2017-01-19 17:31:54,0.4562265775318285
我擦，中国石油早盘又大涨5.11%！把大盘掀翻天,14488,34,2016-12-21 11:43:56,0.15800109846099553
尾盘诡异杀跌存在诱空嫌疑,12430,17,2017-01-11 21:29:39,0.06474575179222164
我刚才7.96买了一万股，是否又错了呀！55555555,16136,21,2016-12-02 11:42:48,0.19884509293192532
中石油此刻随原油上涨，意味着低估值修正意义重,11080,43,2016-12-22 09:47:26,0.6775184310067182
中国石油经营评述,3834,0,2017-01-11 01:15:15,0.5095497837136557
中国石油主营范围,2402,0,2017-01-11 01:14:16,0.24306198414963465
看多次新股，看空中石油的人请进来回答我这个问,6774,15,2017-01-09 20:19:12,0.0051715528016687
里昂：中石油及中石化或将重组 予“买入”评级,12106,6,2017-01-09 13:22:03,0.3809929157820311
“两桶油”破垄断 油气改革持续“破冰”,24294,8,2017-01-08 06:38:33,0.951298816337274
中国石油(601857)融资融券信息(01-06),6729,8,2017-01-07 07:45:34,0.5962429800784687
只要你中国石油收盘敢涨停，希望姐就敢小仓位买,12663,32,2016-12-21 12:32:32,0.179840935368471
16年1季度大幅亏损；但是未来有望改善,46945,15,2016-05-04 13:24:15,0.08747479995412633
7.33元进的中国石油，风险有多大？多久可以翻番,62367,133,2016-07-20 20:14:30,0.05499438079232566
中石油和中石化一把手去年税前收入公布,19564,16,2016-12-30 09:06:44,0.2311449991425778
重仓买进中食油7.24,20258,65,2016-11-03 09:34:20,0.07111276628197583
《中石油：不拍出600亿元，就别想来坐庄！》,12256,24,2016-12-21 11:20:12,0.4910202282203079
中石油称气价倒挂导致亏损 业内却称价格仍有下,15806,16,2016-12-24 12:19:54,0.18602046632475688
中石油破题垄断央企混改 东航联通等混改方案或,96383,198,2016-12-22 02:40:30,0.25635471432815404
601857:中国石油关于财务总监辞任的公告,49259,13,2016-12-06 18:40:19,0.14951669815606705
中石油董事长：明年形势机遇大于挑战 希望大于,16022,10,2016-12-26 14:15:45,0.9905310692080204
中石油混改步入深水 率先引入民间资本 *ST济柴,30125,6,2016-12-24 02:04:22,0.9996427660278161
离混改目标仍存距离 中石油年关提分类推进举措,17505,11,2016-12-22 01:26:15,0.4870765749688488
中国石油1223周末全评,21268,157,2016-12-23 07:57:05,0.2097262996487147
