标题,帖子数,回帖数,时间,情感
大家来猜神华开盘几个板？？,34718,36,2017-06-15 10:15:55,0.16179068145425068
中国神华：稀缺资源 名牌价值待体现(附股),21495,19,2016-12-04 14:24:21,0.9868284223096652
后悔没有清空神华,17072,57,2017-06-05 16:32:54,0.3054395983238216
筹划重大事项 神华国电再次同日发布公告停牌,53623,6,2017-06-19 14:52:39,0.25002208498392087
最大央企重组规模超1.8万亿 “中国神电”折桂煤,282873,97,2017-06-10 02:19:47,0.394437502294506
神华明天该出公告了！下周能否开盘？,25708,30,2017-06-15 11:02:58,0.20719794798569358
中国神华：控股股东拟筹划事项属于重大无先例事,36054,13,2017-06-19 08:58:51,0.7031145405648859
601088看好；還要漲的機會,18056,14,2017-06-05 16:37:24,0.03971895888612842
总之,3593,45,2017-06-19 02:09:21,0.5262327818078083
向神华管理层叫好！你们的决策是有超前的，你们,9459,54,2015-11-18 13:19:08,0.9576389491203456
可还有人记得我？我回来了，十一后开盘开始试探,41493,83,2015-10-13 07:10:31,0.9141631495436732
23号的股东会通过接近3元的分红预案铁定百分之,20082,18,2017-06-17 16:57:49,0.6042467322632012
中国神华集团与国电集团重组，有重大资产注入预,35106,19,2017-06-09 14:04:04,0.6459618226655454
如果董事长们无钱补仓那么又怎么能指望他承担兜,2043,17,2017-06-15 18:31:50,0.18185759373598132
对神华合并后的一点浅析,24193,27,2017-06-14 16:47:02,0.3626987480263635
601088:中国神华2017年5月份主要运营数据公告,46267,4,2017-06-14 16:56:41,0.9130818715404261
孙子 跌停,3281,50,2017-05-15 14:47:46,0.4577924027322493
如果分手,3738,45,2017-06-06 15:41:05,0.7142857142857141
一边吃，一边哭！！！,19685,59,2017-06-07 21:46:45,0.3517815702711976
小李的牛刀,3354,52,2017-06-06 15:46:52,0.4737672181921908
我的自选,4413,52,2017-06-06 16:54:14,0.7499999999999999
组合后规模过于庞大，无发展空间,8482,58,2017-06-06 20:13:58,0.7948608911931879
就神华目前走势，背后恐有消息！而最大可能便是,21381,70,2017-06-04 09:03:36,0.7270703178139603
从早到晚跌……,7771,51,2017-05-10 09:20:26,0.29605373708983374
中国神华(601088)融资融券信息(06-09),6807,5,2017-06-10 07:40:08,0.9526245592325572
马上动手还有机会，兜底式买入当天就涨停  未来,5504,11,2017-06-05 21:34:23,0.99221208713067
601088:中国神华H股通函(建议派发特别股息),95136,13,2017-05-08 15:57:09,0.3707252861166166
说句实话、笨将军离开神华吧是大家的损失！其它,22426,76,2017-05-25 21:10:29,0.03164297289752105
给中国神华融券投资人的一颗定心丸,33678,21,2017-06-07 09:44:54,0.740065055609004
中国神华停盘了，我们休息吧！,17566,12,2017-06-04 19:22:27,0.7098932716759052
中国神华国电电力今起停牌 “中国神电”或领跑,123636,31,2017-06-05 02:36:20,0.624227273658502
神华阶段性高点是多少。。。,2358,19,2017-05-25 15:11:38,0.2552427125799418
中国股市分红王神华是茅台的10倍，相当于15%收,8006,22,2017-05-25 23:54:26,0.9428570055606019
安德利,3356,19,2017-05-25 14:10:51,0.5
能源央企重组加速 “中国神电”呼之欲出,37141,17,2017-06-05 07:28:02,0.14284166698648926
601088:中国神华2016年度股东周年大会会议资料,52556,17,2017-06-02 19:29:16,0.9534570852261411
成本在17元以下的报个道[微笑],24134,46,2017-06-02 14:35:32,0.6569982613221055
神电重组预期：看产业链不看规模,55380,8,2017-06-07 02:21:49,0.5019774085323796
神华国电重组预期升温 煤电一体化有望成为改革,30675,1,2017-06-05 22:42:28,0.8698464546149277
不做马后炮、再发一帖为坚守的股友打气、神华必,58982,179,2017-02-09 22:00:11,0.7176455230928611
中国神华19-20压价2个月，起飞吧！,27273,35,2017-05-22 19:59:11,0.6652673000931406
这股有前途买吧都！[鼓掌][鼓掌],11122,53,2017-05-25 23:20:29,0.8655847875153352
热烈庆祝神华连续大涨，能在熊市的笼罩下重回疯,10688,15,2017-06-02 18:12:29,0.9523674281064589
兰花科创，9倍pe，深度破净，袖珍版神华。,11810,30,2017-05-15 15:08:48,0.8710293994245075
神华，每天一角,15971,34,2017-05-05 17:26:31,0.6000799053524202
这一次真的完了，5万卖了就剩下一万了。,19987,19,2017-06-04 14:31:32,0.48351707497683327
中国神华国电电力停牌筹划重大事项 股民戏称或,81263,13,2017-06-04 23:44:48,0.8242754193533066
中国神华和国电电力双双停牌 煤电央企合并传闻,50568,9,2017-06-05 01:27:10,0.10939671472042067
601088 中国神华  你是上帝的  诺亚方舟,18975,39,2017-04-13 13:46:07,0.7514138495749795
中国神华基于周K线长线技术分析,29159,47,2017-05-29 08:02:08,0.9916744097748227
中国神华的分红是中国股市的正能量！,14353,17,2017-06-02 06:07:38,0.997232531588749
神华操作概要5.24,29207,29,2017-05-24 12:42:51,0.7423017371264936
中国神华巨额分红不是利！,21073,42,2017-06-01 15:35:32,0.7404408707856196
抢入,短期急涨到89元,24076,85,2017-05-08 23:37:50,0.5
中国神话，目标价68元！,21896,44,2017-05-17 22:34:42,0.9765831351892865
加速上涨,22.6元28.4元39元49.8元这波步步稳到,22267,47,2017-05-15 18:50:01,0.14442616358931237
37元应该不是问题，所以请珍惜自己的筹码,21672,39,2017-05-18 08:59:21,0.6527270368523362
关于分红的事不太了解,13419,18,2017-06-02 07:58:04,0.16444917572976858
真的是个不错的壳。就是壳不值,8318,32,2017-05-30 16:26:34,0.9701932886400458
中国神华21元以下只能在分红后有可能见到了！（,26524,18,2017-05-26 02:33:40,0.09008379391543664
工商银行 格力电器，贵州茅台 美的集团福耀玻璃,11360,8,2017-05-12 05:24:52,0.27919126945629147
