行情  sz300059
兰州民百(600738)  sh600738
辽宁成大(600739)  sh600739
山西焦化(600740)  sh600740
华域汽车(600741)  sh600741
一汽富维(600742)  sh600742
华远地产(600743)  sh600743
华银电力(600744)  sh600744
闻泰科技(600745)  sh600745
江苏索普(600746)  sh600746
上实发展(600748)  sh600748
西藏旅游(600749)  sh600749
江中药业(600750)  sh600750
天海投资(600751)  sh600751
东方银星(600753)  sh600753
锦江股份(600754)  sh600754
厦门国贸(600755)  sh600755
浪潮软件(600756)  sh600756
长江传媒(600757)  sh600757
红阳能源(600758)  sh600758
洲际油气(600759)  sh600759
中航沈飞(600760)  sh600760
安徽合力(600761)  sh600761
通策医疗(600763)  sh600763
中国海防(600764)  sh600764
中航重机(600765)  sh600765
园城黄金(600766)  sh600766
宁波富邦(600768)  sh600768
祥龙电业(600769)  sh600769
综艺股份(600770)  sh600770
广誉远(600771)  sh600771
西藏城投(600773)  sh600773
汉商集团(600774)  sh600774
南京熊猫(600775)  sh600775
东方通信(600776)  sh600776
新潮能源(600777)  sh600777
友好集团(600778)  sh600778
水井坊(600779)  sh600779
通宝能源(600780)  sh600780
辅仁药业(600781)  sh600781
新钢股份(600782)  sh600782
鲁信创投(600783)  sh600783
鲁银投资(600784)  sh600784
新华百货(600785)  sh600785
东方锅炉(600786)  sh600786
中储股份(600787)  sh600787
鲁抗医药(600789)  sh600789
轻纺城(600790)  sh600790
京能置业(600791)  sh600791
云煤能源(600792)  sh600792
宜宾纸业(600793)  sh600793
保税科技(600794)  sh600794
国电电力(600795)  sh600795
钱江生化(600796)  sh600796
浙大网新(600797)  sh600797
宁波海运(600798)  sh600798
天津磁卡(600800)  sh600800
华新水泥(600801)  sh600801
福建水泥(600802)  sh600802
新奥股份(600803)  sh600803
鹏博士(600804)  sh600804
悦达投资(600805)  sh600805
天业股份(600807)  sh600807
马钢股份(600808)  sh600808
山西汾酒(600809)  sh600809
神马股份(600810)  sh600810
东方集团(600811)  sh600811
华北制药(600812)  sh600812
杭州解百(600814)  sh600814
安信信托(600816)  sh600816
中路股份(600818)  sh600818
耀皮玻璃(600819)  sh600819
隧道股份(600820)  sh600820
津劝业(600821)  sh600821
上海物贸(600822)  sh600822
世茂股份(600823)  sh600823
益民集团(600824)  sh600824
新华传媒(600825)  sh600825
兰生股份(600826)  sh600826
百联股份(600827)  sh600827
茂业商业(600828)  sh600828
人民同泰(600829)  sh600829
香溢融通(600830)  sh600830
广电网络(600831)  sh600831
东方明珠(600832)  sh600832
第一医药(600833)  sh600833
申通地铁(600834)  sh600834
上海机电(600835)  sh600835
界龙实业(600836)  sh600836
海通证券(600837)  sh600837
上海九百(600838)  sh600838
四川长虹(600839)  sh600839
新湖创业(600840)  sh600840
上柴股份(600841)  sh600841
中西药业(600842)  sh600842
上工申贝(600843)  sh600843
丹化科技(600844)  sh600844
宝信软件(600845)  sh600845
同济科技(600846)  sh600846
上海临港(600848)  sh600848
上药转换(600849)  sh600849
华东电脑(600850)  sh600850
海欣股份(600851)  sh600851
龙建股份(600853)  sh600853
春兰股份(600854)  sh600854
航天长峰(600855)  sh600855
中天能源(600856)  sh600856
宁波中百(600857)  sh600857
银座股份(600858)  sh600858
王府井(600859)  sh600859
北京城乡(600861)  sh600861
中航高科(600862)  sh600862
内蒙华电(600863)  sh600863
哈投股份(600864)  sh600864
百大集团(600865)  sh600865
星湖科技(600866)  sh600866
通化东宝(600867)  sh600867
梅雁吉祥(600868)  sh600868
智慧能源(600869)  sh600869
厦华电子(600870)  sh600870
石化油服(600871)  sh600871
中炬高新(600872)  sh600872
梅花生物(600873)  sh600873
创业环保(600874)  sh600874
东方电气(600875)  sh600875
洛阳玻璃(600876)  sh600876
航天电子(600879)  sh600879
博瑞传播(600880)  sh600880
亚泰集团(600881)  sh600881
广泽股份(600882)  sh600882
博闻科技(600883)  sh600883
杉杉股份(600884)  sh600884
宏发股份(600885)  sh600885
国投电力(600886)  sh600886
伊利股份(600887)  sh600887
新疆众和(600888)  sh600888
南京化纤(600889)  sh600889
中房股份(600890)  sh600890
秋林集团(600891)  sh600891
大晟文化(600892)  sh600892
航发动力(600893)  sh600893
广日股份(600894)  sh600894
张江高科(600895)  sh600895
览海投资(600896)  sh600896
厦门空港(600897)  sh600897
国美通讯(600898)  sh600898
长江电力(600900)  sh600900
江苏租赁(600901)  sh600901
贵州燃气(600903)  sh600903
无锡银行(600908)  sh600908
华安证券(600909)  sh600909
重庆燃气(600917)  sh600917
江苏银行(600919)  sh600919
杭州银行(600926)  sh600926
爱柯迪(600933)  sh600933
广西广电(600936)  sh600936
重庆建工(600939)  sh600939
东方证券(600958)  sh600958
江苏有线(600959)  sh600959
渤海活塞(600960)  sh600960
株冶集团(600961)  sh600961
国投中鲁(600962)  sh600962
岳阳林纸(600963)  sh600963
福成股份(600965)  sh600965
博汇纸业(600966)  sh600966
内蒙一机(600967)  sh600967
郴电国际(600969)  sh600969
中材国际(600970)  sh600970
恒源煤电(600971)  sh600971
宝胜股份(600973)  sh600973
新五丰(600975)  sh600975
健民集团(600976)  sh600976
中国电影(600977)  sh600977
宜华生活(600978)  sh600978
广安爱众(600979)  sh600979
北矿科技(600980)  sh600980
汇鸿集团(600981)  sh600981
宁波热电(600982)  sh600982
惠而浦(600983)  sh600983
建设机械(600984)  sh600984
雷鸣科化(600985)  sh600985
科达股份(600986)  sh600986
航民股份(600987)  sh600987
赤峰黄金(600988)  sh600988
四创电子(600990)  sh600990
广汽长丰(600991)  sh600991
贵绳股份(600992)  sh600992
马应龙(600993)  sh600993
文山电力(600995)  sh600995
贵广网络(600996)  sh600996
开滦股份(600997)  sh600997
九州通(600998)  sh600998
招商证券(600999)  sh600999
唐山港(601000)  sh601000
大同煤业(601001)  sh601001
晋亿实业(601002)  sh601002
柳钢股份(601003)  sh601003
大秦铁路(601006)  sh601006
金陵饭店(601007)  sh601007
连云港(601008)  sh601008
南京银行(601009)  sh601009
文峰股份(601010)  sh601010
宝泰隆(601011)  sh601011
隆基股份(601012)  sh601012
陕西黑猫(601015)  sh601015
节能风电(601016)  sh601016
宁波港(601018)  sh601018
山东出版(601019)  sh601019
华钰矿业(601020)  sh601020
春秋航空(601021)  sh601021
玉龙股份(601028)  sh601028
一拖股份(601038)  sh601038
赛轮金宇(601058)  sh601058
西部黄金(601069)  sh601069
国芳集团(601086)  sh601086
中国神华(601088)  sh601088
中南传媒(601098)  sh601098
太平洋(601099)  sh601099
恒立液压(601100)  sh601100
昊华能源(601101)  sh601101
四川成渝(601107)  sh601107
财通证券(601108)  sh601108
中国国航(601111)  sh601111
华鼎股份(601113)  sh601113
三江购物(601116)  sh601116
中国化学(601117)  sh601117
海南橡胶(601118)  sh601118
四方股份(601126)  sh601126
小康股份(601127)  sh601127
常熟银行(601128)  sh601128
博威合金(601137)  sh601137
深圳燃气(601139)  sh601139
新城控股(601155)  sh601155
重庆水务(601158)  sh601158
三角轮胎(601163)  sh601163
兴业银行(601166)  sh601166
西部矿业(601168)  sh601168
北京银行(601169)  sh601169
