标题,阅读,评论,字数,影响力,时间
大胆潜伏: 怎么跌的就会怎么涨上去（荐股）,10237,11,561,4.0,2017-01-16 22:19:24
行情尾声，注意风险！经济每况愈下，牛市没基础,7743,27,238,4.5,2015-11-18 14:52:18
中国石油股份开市前有3宗大手成交  共涉资1.64,13759,4,191,0.0,2017-03-03 09:54:56
进场:“两会”新行情热点，或有两三成的短升,7278,6,575,4.0,2017-02-22 08:00:38
马蹄南去，人北望。。。 人北望，草青黄，尘飞,3325,3,155,3.5,2016-01-13 09:49:19
吐鲁番的葡萄熟了 “疯狂预测”埋金矿,22648,40,1411,3.5,2017-01-22 14:56:19
中石油重组提速：资产密集整合上市 成效待观察,27531,29,2264,0.0,2017-02-25 11:46:00
回想中國石油上市的首日，我上午9點左右到的證,9546,9,240,2.5,2017-02-24 19:12:57
上市以来首现一异象 中国石油这轮上涨不一样！,47025,112,2999,0.0,2017-01-17 04:19:18
问君能有几多愁，今天没买中石油,20992,50,15,3.0,2016-11-28 10:42:24
创近期新高,26446,55,92,2.5,2016-08-15 17:39:11
中石油获得阿布扎比国家石油公司8%的境内石油开,15976,12,373,0.0,2017-02-19 21:02:18
我炒中国石油股票已取得决定性胜利!! ...:…...,37756,224,198,0.0,2017-01-26 23:41:26
抓紧满仓:油气混改和地方国资改革的双重受益股,5416,9,384,4.0,2017-01-11 08:04:55
牛起来 低于指数了 错位了,19553,28,199,4.0,2016-07-13 03:41:28
中国石油纯黑五类，市盈率7OO倍，3元差不多,13435,12,87,3.5,2017-01-31 23:19:43
中石油不退市大A股不会止跌。,3968,12,138,1.0,2017-01-24 10:15:08
中国石油预警：年度净利润将减少70%至80%,29437,112,902,0.0,2017-01-25 18:01:13
中国石油去年净利降七至八成 石油价格下降是主,21568,64,865,0.0,2017-01-26 04:23:26
中国石油新高说明了啥？,46950,31,2510,0.0,2017-01-24 14:26:02
想砸盘又不敢使劲砸，心碎了的国家队,4973,6,144,4.0,2017-01-26 10:54:55
中石油680动态市盈率还在上涨创新高！,4616,10,201,0.0,2017-01-25 19:10:25
中石油预警2016年净利或暴跌80% 石油价格下降是,15865,16,835,0.0,2017-01-25 22:50:05
中石油在川南启动新一轮页岩气开发,9079,8,248,0.0,2017-01-25 15:52:24
中国石油…………世纪大底！！！[抄底][买入][,24203,33,97,3.5,2016-08-26 13:03:04
上联：大盘垃圾拉大盘，求下联,3804,28,138,3.0,2017-01-24 10:16:03
进场:地方国企二线蓝筹股---跨年行情热点,6729,14,432,4.0,2016-12-19 10:56:37
证监会：请请依法治市！查处中石油等人为操纵股,24082,81,253,4.0,2015-08-18 14:10:59
证监会：请依法治市、全面监管！查处操纵股价的,25745,48,268,4.0,2016-03-29 09:18:20
中石油在四川油气新发现：泥盆系形成于距今4亿,14155,9,323,0.0,2017-01-23 18:15:28
601857:中国石油2016年中期A股分红派息实施公告,56269,11,1952,0.0,2016-09-12 19:14:56
中石油原总经理廖永远一审获刑15年 收受财物超1,9835,13,709,0.0,2017-01-19 17:31:54
我擦，中国石油早盘又大涨5.11%！把大盘掀翻天,14526,34,179,4.0,2016-12-21 11:43:56
尾盘诡异杀跌存在诱空嫌疑,12483,17,134,5.0,2017-01-11 21:29:39
中石油此刻随原油上涨，意味着低估值修正意义重,11154,43,192,3.5,2016-12-22 09:47:26
中国石油经营评述,3937,0,331,1.0,2017-01-11 01:15:15
中国石油主营范围,2458,0,558,1.0,2017-01-11 01:14:16
看多次新股，看空中石油的人请进来回答我这个问,6817,15,190,3.5,2017-01-09 20:19:12
里昂：中石油及中石化或将重组 予“买入”评级,12230,6,577,0.0,2017-01-09 13:22:03
“两桶油”破垄断 油气改革持续“破冰”,24430,8,2818,0.0,2017-01-08 06:38:33
中国石油(601857)融资融券信息(01-06),6786,8,536,0.0,2017-01-07 07:45:34
只要你中国石油收盘敢涨停，希望姐就敢小仓位买,12708,32,267,4.0,2016-12-21 12:32:32
16年1季度大幅亏损；但是未来有望改善,47237,15,852,0.0,2016-05-04 13:24:15
7.33元进的中国石油，风险有多大？多久可以翻番,62441,133,163,3.0,2016-07-20 20:14:30
中石油和中石化一把手去年税前收入公布,19630,16,1074,0.0,2016-12-30 09:06:44
《中石油：不拍出600亿元，就别想来坐庄！》,12315,24,175,3.5,2016-12-21 11:20:12
中石油称气价倒挂导致亏损 业内却称价格仍有下,15933,16,2598,0.0,2016-12-24 12:19:54
