标题,阅读,评论,字数,影响力,时间
《炒股日记》（4月12日，星期三）,7491,19,1150,4.0,2017-04-12 15:38:59
601901:方正证券2017年3月财务数据简报,41783,12,647,0.0,2017-04-11 16:48:14
《炒股日记》（4月11日，星期二）,6325,10,1143,4.0,2017-04-11 15:34:22
《炒股日记》（3月29日，星期三）,9870,44,1319,4.0,2017-03-29 15:54:54
外资为何看好方正？且听我说。,35147,28,700,2.5,2017-03-29 19:45:56
如果你认为大盘会冲三千三就买券商股,11131,11,212,3.5,2017-03-27 11:54:21
《炒股日记》（3月31日，星期五） 一、方正证券,9773,5,1319,4.0,2017-04-01 08:58:32
《炒股日记》（3月31日，星期五）,8895,14,1301,4.0,2017-03-31 16:35:15
601901:方正证券关于公司涉及诉讼的公告,28911,10,1813,0.0,2017-03-30 23:23:30
《炒股日记》（3月30日，星期四）,7769,16,1152,4.0,2017-03-30 15:28:54
