标题,阅读,评论,字数,影响力,时间
这波深港预期炒作基本告一段落,28309,15,145,4.0,2016-11-20 19:29:16
获利了结,7584,6,4,4.0,2016-11-14 19:38:14
头寸建仓完毕，准备第二波,27051,32,12,0.0,2016-11-04 12:10:39
现价卖出东兴证券，做个高抛低吸,9929,11,195,4.0,2016-11-11 13:29:19
今日高点已出现，参考卖出,8140,8,134,3.0,2016-11-11 09:45:07
本人预测000630下一个四川双马,6040,15,144,3.0,2016-11-10 09:47:54
东兴证券拉升在即！,9980,19,228,4.0,2016-11-10 10:33:10
俺骑了一头大红牛，西出函谷关，紫气却从东边来,2644,4,25,3.0,2016-11-11 08:40:33
价高估位没戏了*明起全仓转000731四川美丰10年,208252,572,196,4.0,2016-01-25 17:02:01
尾盘打到23、22的单子明细里怎么看不到，哪位知,5307,8,166,1.0,2016-11-08 22:14:53
温州帮将入驻中海科技002401仟源医药300254目标,13883,11,968,3.0,2016-10-02 11:14:42
周末看了一下，东兴怎么看怎么好看，大盘怎么看,17309,17,257,3.5,2016-11-06 00:56:21
601198:东兴证券关于公司聘任副总经理的公告,22303,6,1006,0.0,2016-11-07 18:40:39
东兴证券母公司10月净利润环比增长143%,35610,15,209,0.0,2016-11-04 21:13:05
不是不看好东兴，只是大盘要尿，先出来看看，只,4632,4,174,3.5,2016-11-04 11:14:51
601198:东兴证券:2016年东兴证券股份有限公司债,38508,5,1700,0.0,2016-11-04 19:51:35
601198:东兴证券2016年10月财务数据简报,43361,6,479,0.0,2016-11-04 19:50:53
601198:东兴证券:华融证券股份有限公司关于“14,39366,6,595,0.0,2016-11-04 16:06:39
大盘今天是创了新高的，但60分钟macd红柱始终放,5496,5,266,3.5,2016-11-04 13:40:04
完蛋，东兴没有深港通权限,13962,15,134,2.5,2016-11-03 21:07:02
收个光头阳线对东兴来说就这么难吗？日,4698,5,146,3.5,2016-11-03 14:29:27
本应该悄悄的来，于心不忍。,24356,62,160,4.0,2016-10-28 00:36:59
这货最近怎么老逆着大盘走，测试庄家控盘能力呢,5537,7,161,3.5,2016-11-02 11:10:45
东兴证券,6793,7,59,4.0,2016-11-01 19:35:10
东兴证券今日超大单流出排名第3名(11-01),16927,5,297,0.0,2016-11-01 16:03:40
有意思,8833,36,118,3.0,2016-11-01 11:27:29
今天这一洗，短期我看到25，不见不散,12914,18,146,3.0,2016-10-20 13:30:56
601198:东兴证券2016年第三季度报告,36963,15,889,0.0,2016-10-27 20:11:57
601198（东兴证券）走势推演图,325256,225,151,4.5,2015-12-26 14:56:30
2016年三季报点评：股东资源丰富 投行逆势增长,28287,6,977,0.0,2016-10-28 15:04:03
601198:东兴证券信息披露暂缓与豁免业务内部管,17307,4,1667,0.0,2016-10-27 20:11:31
唯一AMC系券商股，协同打造综合投行,93433,31,1154,0.0,2016-03-29 14:28:25
债转股带来的投资机会 那些股值得重点关注,11156,13,1831,4.0,2016-10-15 16:27:22
债转股行情拉开大幕 AMC正遭各路资金疯抢,9802,11,510,4.5,2016-10-16 07:42:43
唯一全国四大AMC系券商，最纯正AMC标的:东兴证券,16104,10,326,2.5,2016-10-15 08:24:42
大干快上，不创历史新高不回头！历史新高待到深,11926,19,182,3.0,2016-10-18 18:31:36
盯盘的朋友发现今天东兴盘中有异动没有，今天2,10105,7,266,2.0,2016-10-26 16:14:35
东兴证券(601198)大宗交易数据一览(10-25),22622,12,483,0.0,2016-10-25 19:56:48
挖掘债转股AMC概念股未大涨暴涨过的大黑马牛股,8083,6,831,4.0,2016-10-25 17:27:37
今天的上影线和两个月前高度刚好吻合，当然此一,12758,13,184,3.0,2016-10-24 17:48:34
从4月底到现在，东兴维持箱体震荡，上沿25左右,11273,3,241,3.5,2016-10-22 12:46:01
今天又当接盘侠了，不知是你们哪位高人卖给我的,7344,11,184,2.0,2016-10-21 15:11:52
说两句哈，新手们不要相信吧里某位半桶水大神天,6579,6,289,3.0,2016-10-22 08:55:05
拿到深港通开通，主力在吸筹码，资金流入，中线,11498,6,160,3.0,2016-10-20 15:37:02
认准大趋势做股票不会吃亏。债转股是大趋势，不,6927,6,310,3.5,2016-10-18 14:36:52
